date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase
########,Review title 1,"Not satisfied, many bugs and issues.",1,user1,80,6,Amazon,zh,Kenya,2.1.4,No
########,Review title 2,Amazing quality and user-friendly interface.,5,user2,180,5,Flipkart,zh,France,1.2.3,No
########,Review title 3,"Terrible experience, needs major improvements.",2,user3,154,5,Flipkart,pt,USA,1.2.3,No
########,Review title 4,Poor performance and not user-friendly.,1,user4,96,5,Amazon,es,Qatar,2.1.4,Yes
########,Review title 5,"Not satisfied, many bugs and issues.",2,user5,139,6,Website,ar,Kenya,2.1.4,No
5/5/2024,Review title 6,"Waste of time, does not meet expectations.",2,user6,156,7,App Store,en,Nepal,3.5.6,No
3/9/2024,Review title 7,"Highly satisfied, the app works exactly as expected.",4,user7,186,8,Google Play,fr,Qatar,2.1.4,No
3/8/2024,Review title 8,"Highly satisfied, the app works exactly as expected.",4,user8,152,8,Amazon,ja,Italy,5.0.3,No
########,Review title 9,"Excellent app, very easy to use and extremely helpful.",4,user9,87,9,Amazon,en,Germany,5.0.3,No
########,Review title 10,"Great experience, smooth performance and useful features.",5,user10,27,7,Flipkart,en,Nepal,3.5.6,Yes
########,Review title 11,Works fine but there is room for improvement.,3,user11,190,8,Flipkart,en,France,1.2.3,No
########,Review title 12,"Not bad, but updates are needed for better performance.",3,user12,153,9,Google Play,hi,Poland,4.2.1,No
########,Review title 13,"Highly satisfied, the app works exactly as expected.",5,user13,6,8,Website,hi,Qatar,3.5.6,No
########,Review title 14,"Highly satisfied, the app works exactly as expected.",4,user14,51,8,Flipkart,pt,UK,5.0.3,Yes
6/2/2024,Review title 15,Works fine but there is room for improvement.,3,user15,78,8,Flipkart,hi,USA,3.5.6,Yes
########,Review title 16,"Terrible experience, needs major improvements.",1,user16,89,5,Google Play,fr,Kenya,1.2.3,No
########,Review title 17,Amazing quality and user-friendly interface.,4,user17,83,5,Google Play,ja,India,3.5.6,No
########,Review title 18,Poor performance and not user-friendly.,2,user18,156,5,Flipkart,hi,Qatar,1.2.3,Yes
6/5/2024,Review title 19,"Excellent app, very easy to use and extremely helpful.",5,user19,33,9,Website,pt,USA,5.0.3,No
1/3/2025,Review title 20,"Decent app, neither too good nor too bad.",3,user20,55,8,App Store,pt,UK,3.5.6,Yes
########,Review title 21,"Highly satisfied, the app works exactly as expected.",4,user21,152,8,Google Play,zh,India,1.2.3,No
7/1/2024,Review title 22,Poor performance and not user-friendly.,1,user22,97,5,Amazon,ja,Germany,5.0.3,Yes
########,Review title 23,Very reliable and worth using regularly.,4,user23,20,6,Flipkart,ar,Kenya,4.2.1,Yes
########,Review title 24,Poor performance and not user-friendly.,2,user24,126,5,Google Play,fr,Qatar,2.1.4,Yes
########,Review title 25,"Average experience, some features could be improved.",3,user25,75,7,Flipkart,fr,USA,4.2.1,Yes
########,Review title 26,The app is okay and does its job reasonably well.,3,user26,88,10,Website,en,UK,1.2.3,Yes
########,Review title 27,Amazing quality and user-friendly interface.,4,user27,43,5,Flipkart,pt,Kenya,3.5.6,Yes
4/8/2025,Review title 28,Poor performance and not user-friendly.,2,user28,91,5,Flipkart,fr,Qatar,2.1.4,No
########,Review title 29,The app is okay and does its job reasonably well.,3,user29,118,10,App Store,fr,Italy,1.2.3,No
########,Review title 30,Very reliable and worth using regularly.,5,user30,127,6,Google Play,hi,Kenya,3.5.6,No
########,Review title 31,"Average experience, some features could be improved.",3,user31,139,7,Website,es,Poland,5.0.3,No
########,Review title 32,"Very disappointing experience, the app crashes often.",2,user32,199,7,App Store,en,Germany,2.1.4,No
2/9/2024,Review title 33,"Average experience, some features could be improved.",3,user33,164,7,Amazon,hi,Germany,4.2.1,Yes
